serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,item,retail_price,calc_calories
Unknown,149.13,4.57,1.58,0.0,8528.0,63026.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,"All Natural Chicken, Boneless Skinless Chicken Breasts",4.49,149.13
3 balls (28g),70.0,5.0,3.5,0.0,15.0,75.0,0.5,0.0,0.5,5.0,0.0,104.0,0.0,0.0,"All Natural Ciliegine, Whole Milk Fresh Mozzarella in Lightly Salted Water",3.99,67.0
4 oz (112g),150.0,8.0,2.5,0.0,85.0,75.0,0.0,0.0,0.0,19.0,0.4,20.0,1.3,240.0,All Natural Ground Turkey,4.49,148.0
Unknown,65.13,4.57,2.513,0.0,155.0,251.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,All natural Ovoline Whole Milk Fresh Mozzarella in Lightly Salter Water,3.99,65.13
Unknown,643.0,69.0,3.518,0.0,207.0,803.0,0.5,0.0,0.5,5.0,0.0,0.0,0.0,0.0,"All Natural, Fresh, Mozzarella Cheese",3.99,643.0
1 tsp. (4g),15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,All Occasion Sprinkle,1.99,16.0
2 tsp. (8g),0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Allulose Sweetener Blend,1.99,32.0
0.3 cup (29g),180.0,15.0,2.0,0.0,0.0,160.0,6.0,2.0,2.0,6.0,0.0,50.0,1.2,170.0,Almond & Cashews Bagel,3.49,183.0
1 cup,60.0,2.5,0.0,0.0,0.0,100.0,9.0,0.5,7.0,0.5,0.0,20.0,0.2,40.0,"Almond Beverage, Blueberry Lavender",3.99,60.5
Unknown,867.95,3.55,0.53,0.0,0.0,1054.0,207.0,28.0,17.0,2.0,0.0,0.0,0.0,2206.0,"Almond Beverage, Chocolate Peppermint",3.99,867.95
1 cup,60.0,2.5,0.0,0.0,0.0,100.0,9.0,0.5,7.0,1.0,0.0,20.0,0.5,50.0,"Almond Beverage, Matcha",3.99,62.5
1 cup,30.0,2.5,0.0,0.0,0.0,190.0,1.0,0.5,0.5,1.0,5.0,390.0,0.4,35.0,"Almond Beverage, Unsweetened Vanilla",3.99,30.5
Unknown,403.0,35.0,0.0,0.0,0.0,1808.0,21.0,14.0,0.5,1.0,0.0,0.0,0.0,1905.0,"Almond Beverage, Vanilla, Unsweetened",3.99,403.0
1 container (156g),340.0,20.0,2.5,0.0,0.0,160.0,33.0,8.0,13.0,12.0,0.0,130.0,2.7,470.0,Almond Butter Chia Overnight Oats,2.29,360.0
1 bar (35g),160.0,8.0,1.0,0.0,0.0,95.0,19.0,2.0,6.0,4.0,0.0,40.0,1.0,130.0,Almond Butter Cocoa Bars,3.99,164.0
0.7 cup (65g),290.0,12.0,2.0,0.0,0.0,135.0,40.0,5.0,12.0,7.0,0.0,50.0,1.8,220.0,Almond Butter Granola,3.49,296.0
1 cup (40g),200.0,10.0,1.0,0.0,0.0,80.0,20.0,2.0,6.0,6.0,0.0,60.0,1.2,180.0,Almond Butter Puffs Cereal,3.49,194.0
2 tbsp,60.0,4.0,0.0,0.0,0.0,90.0,4.0,1.0,2.0,2.0,0.0,20.0,0.4,20.0,Almond Butter Turmeric Salad Dressing,3.99,60.0
2 tbsp (32g),190.0,16.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,7.0,0.0,78.0,1.1,282.0,"Almond Butter, Raw Creamy Unsalted",3.99,200.0
2 tbsp (32g),190.0,16.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,7.0,0.0,78.0,1.1,282.0,"Almond Butter, Raw Crunchy No Salt",5.99,200.0
